chain_key,total_pois,sample_raw_names,proposed_canonical_brand_id,proposed_display_name_en,proposed_display_name_ar,confidence,notes
وقت العصير,27,وقت العصير,,,,medium,"high count, manual classification needed"
riyadh,27,Riyadh,,,,medium,"high count, manual classification needed"
حلويات سعد الدين,25,حلويات سعد الدين,,,,low,matches non-chain pattern 'حلويات'
اقل سعرات حرارية,24,أقل سعرات حرارية || اقل سعرات حرارية,,,,medium,"high count, manual classification needed"
شاي وسمسم,24,شاي وسمسم,,,,medium,"high count, manual classification needed"
كول مود,24,كول مود,,,,medium,"high count, manual classification needed"
papa john s,24,Papa John's || Papa John’s,papa_johns,Papa John's,بابا جونز,high,
لويجي,24,لويجي,,,,medium,"high count, manual classification needed"
باستا ستيشن,23,باستا ستيشن,,,,medium,"high count, manual classification needed"
كازاباستا,23,كازاباستا,,,,medium,"high count, manual classification needed"
لورينزو بيتزا,23,لورينزو بيتزا,,,,medium,"high count, manual classification needed"
عالخفيف,23,عالخفيف,,,,medium,"high count, manual classification needed"
برجر مشوي,22,برجر مشوى || برجر مشوي,,,,medium,"high count, manual classification needed"
بيت الشواية,22,بيت الشواية,,,,medium,"high count, manual classification needed"
بيتزاهت,22,بيتزاهت,,,,medium,"high count, manual classification needed"
تسالي,22,تسالي,,,,medium,"high count, manual classification needed"
ستيك هاوس,21,ستيك هاوس,,,,medium,"high count, manual classification needed"
shawarma house,21,Shawarma House || Shawarma house,,,,medium,"high count, manual classification needed"
تيلر,21,تيلر,,,,medium,"high count, manual classification needed"
كانتون,20,كانتون,,,,medium,"high count, manual classification needed"
مشن ووك,20,مشن ووك,,,,medium,"high count, manual classification needed"
نودلز اسيا,20,نودلز آسيا,,,,medium,"high count, manual classification needed"
مطعم,20,مطعم,,,,low,matches non-chain pattern 'مطعم'
بقلاوة جوزيل,20,بقلاوة جوزيل,,,,medium,"high count, manual classification needed"
عنبة,20,عنبة,,,,medium,"high count, manual classification needed"
شركة طرد النحل بالرياض ازالة اعشاش النحل من الجدران والاسقف,20,شركة طرد النحل بالرياض | إزالة أعشاش النحل من الجدران والأسقف,,,,medium,"high count, manual classification needed"
نودل وي,20,نودل وي,,,,medium,"high count, manual classification needed"
تشاينيز تاون اكسبريس,20,تشاينيز تاون إكسبريس || تشاينيز تاون اكسبريس,,,,medium,"high count, manual classification needed"
الرومانسية,19,الرومانسية,al_romansiah,Al Romansiah,الرومانسية,high,
بروستد كي,19,بروستد كي,,,,medium,"high count, manual classification needed"
مطعم بخاري,19,مطعم بخاري,,,,low,matches non-chain pattern 'مطعم'
بوبايز,19,بوبايز,popeyes,Popeyes,بوبايز,high,
فورتوينز,18,فورتوينز,,,,medium,"high count, manual classification needed"
pakistani restaurant,18,Pakistani Restaurant || Pakistani restaurant,,,,low,matches non-chain pattern 'restaurant'
كون زون,18,كون زون,,,,medium,"high count, manual classification needed"
واك ذا ووك,18,واك ذا ووك,,,,medium,"high count, manual classification needed"
منؤشة,18,منؤشة || منؤشـة,,,,medium,"high count, manual classification needed"
حاشي باشا,18,حاشي باشا,,,,medium,"high count, manual classification needed"
شاورما كلاسك,18,شاورما كلاسك,,,,medium,"high count, manual classification needed"
مامولا,18,مامولا,,,,medium,"high count, manual classification needed"
فوال,18,فوال,,,,medium,"high count, manual classification needed"
ليتل سيزرز,18,ليتل سيزرز,,,,medium,"high count, manual classification needed"
شواية الخليج,17,شواية الخليج,,,,medium,"high count, manual classification needed"
سالدوتش,17,سالدوتش,,,,medium,"high count, manual classification needed"
مشويات المشوي العنابي,17,مشويات المشوى العنابي,,,,medium,"high count, manual classification needed"
شا,17,شا,,,,medium,"high count, manual classification needed"
الناضج,17,الناضج,,,,medium,"high count, manual classification needed"
بيت الشاورما,16,بيت الشاورما,,,,medium,"high count, manual classification needed"
ليتس بلاك,16,ليتس بلاك,,,,medium,"high count, manual classification needed"
الب,16,الب,,,,medium,"high count, manual classification needed"
تكا وي,16,تكا وي,,,,medium,"high count, manual classification needed"
steak house,16,Steak House,the_steak_house,The Steak House,ذا ستيك هاوس,high,
ليتس بيتزا علي الحطب,16,ليتس بيتزا على الحطب,,,,medium,"high count, manual classification needed"
شرار,16,شرار,,,,medium,"high count, manual classification needed"
ايفري داي كوفي,16,ايفري داي كوفي,,,,medium,"high count, manual classification needed"
اني و داني,16,آني و داني,,,,medium,"high count, manual classification needed"
حلويات سنابل السلام,16,حلويات سنابل السلام,,,,low,matches non-chain pattern 'حلويات'
شاهي ابو وليد,16,شاهي أبو وليد || شاهي ابو وليد,,,,medium,"high count, manual classification needed"
محومر,16,محومر,,,,medium,"high count, manual classification needed"
سمسم,16,سمسم,,,,medium,"high count, manual classification needed"
باستليتا,16,باستليتا,,,,medium,"high count, manual classification needed"
بوفيه,16,بوفيه,,,,medium,"high count, manual classification needed"
ارابيكا كافيه,16,أرابيكا كافيه || ارابيكا كافيه,,,,low,matches non-chain pattern 'كافيه'
ارتشي,16,أرتشي || ارتشي,,,,medium,"high count, manual classification needed"
بيتزا الساخنة,15,بيتزا الساخنة,,,,medium,"high count, manual classification needed"
سنشري برجر,15,سنشري برجر,,,,medium,"high count, manual classification needed"
روح الرياض,15,روح الرياض,,,,medium,"high count, manual classification needed"
ونديز,15,ونديز,,,,medium,"high count, manual classification needed"
شواية تربيعة,15,شواية تربيعة,,,,medium,"high count, manual classification needed"
سمرقندي,15,سمرقندي,,,,medium,"high count, manual classification needed"
ابو جبارة,15,أبو جبارة || ابو جبارة,,,,medium,"high count, manual classification needed"
خلية سمسم,15,خلية سمسم,,,,medium,"high count, manual classification needed"
فلافل دام,15,فلافل دام,,,,medium,"high count, manual classification needed"
برج الحمام,15,برج الحمام,,,,medium,"high count, manual classification needed"
قوشة,14,قوشة,,,,medium,"high count, manual classification needed"
لقيمات القرية,14,لقيمات القرية,,,,medium,"high count, manual classification needed"
ووك نيشن,14,ووك نيشن,,,,medium,"high count, manual classification needed"
هاريز بيتزا,14,هاريز بيتزا,,,,medium,"high count, manual classification needed"
وينج ستوب,14,وينج ستوب,,,,medium,"high count, manual classification needed"
ديلي كب,14,ديلى كب || ديلي كب,,,,medium,"high count, manual classification needed"
لايقر,14,لايقر,,,,medium,"high count, manual classification needed"
مذاق ورق عنب,14,مذاق ورق عنب,,,,medium,"high count, manual classification needed"
بيت الفطيرة الدمشقية,14,بيت الفطيرة الدمشقية,,,,medium,"high count, manual classification needed"
غلوريا جينز,14,غلوريا جينز,,,,medium,"high count, manual classification needed"
كرانشي تشكن,14,كرانشي تشكن,,,,medium,"high count, manual classification needed"
سيجنتشر,14,سيجنتشر,,,,medium,"high count, manual classification needed"
فيلوتشي,14,فيلوتشي,,,,medium,"high count, manual classification needed"
خفيف,14,خفيف,,,,medium,"high count, manual classification needed"
سورس,14,سورس,,,,medium,"high count, manual classification needed"
فت هاوس,13,فت هاوس,,,,medium,"high count, manual classification needed"
ناز,13,ناز,,,,medium,"high count, manual classification needed"
الرياض,13,الرياض,,,,medium,"high count, manual classification needed"
تيا,13,تيا,,,,medium,"high count, manual classification needed"
اوفر جار,13,أوفر جار,,,,medium,"high count, manual classification needed"
الحمراء البخاري,13,الحمراء البخاري,,,,medium,"high count, manual classification needed"
بيتزاراتي,13,بيتزاراتي,,,,medium,"high count, manual classification needed"
مارك برجر,13,مارك برجر,,,,medium,"high count, manual classification needed"
الليوان,13,الليوان,,,,medium,"high count, manual classification needed"
علبة,13,علبة,,,,medium,"high count, manual classification needed"
تاوة,13,تاوة,,,,medium,"high count, manual classification needed"
ياما ساما سوشي,13,ياما ساما سوشي,,,,medium,"high count, manual classification needed"
شباك بيروت,13,شباك بيروت,,,,medium,"high count, manual classification needed"
bangladeshi restaurant,13,Bangladeshi Restaurant || Bangladeshi Restaurant আমজাদ হোটেল || Bangladeshi Restaurant সানজিদা হোটেল || Bangladeshi restaurant || bangladeshi restaurant,,,,low,matches non-chain pattern 'restaurant'
كنافة كريمة,13,كنافة كريمة,,,,medium,"high count, manual classification needed"
شاورما ناهس,13,شاورما ناهس,,,,medium,"high count, manual classification needed"
جباتي وكرك,13,جباتي وكرك,,,,medium,"high count, manual classification needed"
ميل فوي بيكري,13,ميل فوي بيكري,,,,medium,"high count, manual classification needed"
دان كافيه,12,دان كافيه,,,,low,matches non-chain pattern 'كافيه'
خلية,12,خلية,,,,medium,"high count, manual classification needed"
خطوة جمل,12,خطوة جمل,,,,medium,"high count, manual classification needed"
لايرد,12,لايرد,,,,medium,"high count, manual classification needed"
دايم,12,دايم,,,,medium,"high count, manual classification needed"
شرمبشاك,12,شرمبشاك,,,,medium,"high count, manual classification needed"
دايت سنتر,12,دايت سنتر,,,,medium,"high count, manual classification needed"
شكن,12,شكن,,,,medium,"high count, manual classification needed"
فلك,12,فلك,,,,medium,"high count, manual classification needed"
يوو باستا,12,يوو باستا,,,,medium,"high count, manual classification needed"
هوبا برجر,12,هوبا برجر,,,,medium,"high count, manual classification needed"
قشطية,12,قشطية,,,,medium,"high count, manual classification needed"
الهاشمي كنافة و حلا,12,الهاشمي كنافة و حلا,,,,medium,"high count, manual classification needed"
تشنك,12,تشنك,,,,medium,"high count, manual classification needed"
تاو نودلز,12,تاو نودلز,,,,medium,"high count, manual classification needed"
شاورما البلد,12,شاورما البلد,,,,medium,"high count, manual classification needed"
ذا كوفي بين اند تي ليف,12,ذا كوفي بين آند تي ليف || ذا كوفي بين اند تي ليف,,,,medium,"high count, manual classification needed"
لمتنا غير,12,لمتنا غير,,,,medium,"high count, manual classification needed"
سي بيتزا,12,سي بيتزا,,,,medium,"high count, manual classification needed"
كنتكة,12,كنتكة,,,,medium,"high count, manual classification needed"
bukhari restaurant,12,Bukhari Restaurant || Bukhari restaurant,,,,low,matches non-chain pattern 'restaurant'
كنافة ابوالهوس,12,كنافة ابوالهوس,,,,medium,"high count, manual classification needed"
بن شرمب,12,بن شرمب,,,,medium,"high count, manual classification needed"
كويزنوز,12,كويزنوز,,,,medium,"high count, manual classification needed"
لقمة وردية,12,لقمة وردية,,,,medium,"high count, manual classification needed"
باتشي,12,باتشي,,,,medium,"high count, manual classification needed"
بريست,12,بريست,,,,medium,"high count, manual classification needed"
ماما بنز كافيه,12,ماما بنز كافيه,,,,low,matches non-chain pattern 'كافيه'
بستاني,12,بستاني,,,,medium,"high count, manual classification needed"
وايت بوتل,12,وايت بوتل,,,,medium,"high count, manual classification needed"
اصل البرجر,12,أصل البرجر,,,,medium,"high count, manual classification needed"
بوفية تسالي,12,بوفية تسالي || بوفية تسالي.,,,,medium,"high count, manual classification needed"
زان سويت,12,زان سويت,,,,medium,"high count, manual classification needed"
الشراع,12,الشراع,,,,medium,"high count, manual classification needed"
مولتن,11,مولتن,,,,medium,"high count, manual classification needed"
مقهي,11,مقهى || مقهي,,,,medium,"high count, manual classification needed"
arabica coffee,11,Arabica Coffee || Arabica coffee || Arabica coffee .,,,,medium,"high count, manual classification needed"
مونكي كوكيز,11,مونكي كوكيز,,,,medium,"high count, manual classification needed"
كيك مي اوت,11,كيك مي اوت,,,,medium,"high count, manual classification needed"
مقلوبة maqloba,11,مقلوبة ® | Maqloba,,,,medium,"high count, manual classification needed"
فلافل تايم,11,فلافل تايم,,,,medium,"high count, manual classification needed"
نوري سوشي,11,نوري سوشي,,,,medium,"high count, manual classification needed"
فويل برجر,11,فويل برجر,,,,medium,"high count, manual classification needed"
بيلاتا,11,بيلاتا,,,,medium,"high count, manual classification needed"
دجاج تكساس,11,دجاج تكساس,,,,medium,"high count, manual classification needed"
حكمت,11,حكمت,,,,medium,"high count, manual classification needed"
سلطان دي لايت برجر,11,سلطان دي لايت برجر,,,,medium,"high count, manual classification needed"
شوقر كوتد,11,شوقر كوتد,,,,medium,"high count, manual classification needed"
سيرو,11,سيرو,,,,medium,"high count, manual classification needed"
عصير تايم,11,عصير تايم,,,,medium,"high count, manual classification needed"
sbarro,11,Sbarro,,,,medium,"high count, manual classification needed"
لاروش,11,لاروش,,,,medium,"high count, manual classification needed"
سافوير,11,سافوير,,,,medium,"high count, manual classification needed"
كوتد,11,كوتد,,,,medium,"high count, manual classification needed"
جنيه,11,جنيه,,,,medium,"high count, manual classification needed"
كرش,11,كرش,,,,medium,"high count, manual classification needed"
maqloba مقلوبة,11,Maqloba | مقلوبة || Maqloba مقلوبة,,,,medium,"high count, manual classification needed"
فلات برجر,11,فلات برجر,,,,medium,"high count, manual classification needed"
شوكولاتة لوسورا,11,شوكولاتة لوسورا,,,,medium,"high count, manual classification needed"
سبارو,11,سبارو,,,,medium,"high count, manual classification needed"
قصر الهند,11,قصر الهند,,,,medium,"high count, manual classification needed"
شيز,11,شيز,,,,medium,"high count, manual classification needed"
قطوف و حلا,11,قطوف و حلا,,,,medium,"high count, manual classification needed"
المذاق المغربي,11,المذاق المغربي,,,,medium,"high count, manual classification needed"
كارميه شوكولا,11,كارميه شوكولا,,,,medium,"high count, manual classification needed"
مكرملة,10,مكرملة,,,,medium,"high count, manual classification needed"
حاشيكم,10,حاشيكم,,,,medium,"high count, manual classification needed"
تورتا اند مور,10,تورتا آند مور || تورتا اند مور,,,,medium,"high count, manual classification needed"
عصرية,10,عصرية,,,,medium,"high count, manual classification needed"
كوكن,10,كوكن,,,,medium,"high count, manual classification needed"
رنوش,10,رنوش,,,,medium,"high count, manual classification needed"
بيتوتي,10,بيتوتي,,,,medium,"high count, manual classification needed"
شقفه,10,شقفه,,,,medium,"high count, manual classification needed"
للوجبات السريعة,10,للوجبات السريعة,,,,low,matches non-chain pattern 'وجبات'
وودن كوفي,10,وودن كوفي,,,,medium,"high count, manual classification needed"
شرمب اند رول,10,شرمب اند رول,,,,medium,"high count, manual classification needed"
لاوة,10,لاوة,,,,medium,"high count, manual classification needed"
bangladeshi hotel,10,Bangladeshi Hotel || Bangladeshi hotel || Bangladeshi hotel বাংলাদেশী হোটেল || বাংলাদেশি হোটেল Bangladeshi Hotel,,,,medium,"high count, manual classification needed"
كولد ستون,10,كولد ستون,,,,medium,"high count, manual classification needed"
وهاد,10,وهاد,,,,medium,"high count, manual classification needed"
cantonksa,10,Cantonksa,,,,medium,"high count, manual classification needed"
سبايس,10,سبايس,,,,medium,"high count, manual classification needed"
كالي بيتزا باستا,10,كالي بيتزا باستا,,,,medium,"high count, manual classification needed"
فاير جريل,10,فاير جريل,,,,medium,"high count, manual classification needed"
سكشن بي,10,سكشن بي,,,,medium,"high count, manual classification needed"
مذاق الكيك,10,مذاق الكيك,,,,medium,"high count, manual classification needed"
كعك وجبن,10,كعك وجبن,,,,medium,"high count, manual classification needed"
بخاري مقمر,10,بخاري مقمر,,,,medium,"high count, manual classification needed"
ديار بيكري,10,ديار بيكري,,,,medium,"high count, manual classification needed"
بخااري الحارة,10,بخااري الحارة,,,,medium,"high count, manual classification needed"
بانياني,10,بانياني,,,,medium,"high count, manual classification needed"
شاورما جليلة,10,شاورما جليلة,,,,medium,"high count, manual classification needed"
سباروزو,10,سباروزو,,,,medium,"high count, manual classification needed"
باب شرقي,10,باب شرقي,,,,medium,"high count, manual classification needed"
ايتوال,10,ايتوال,,,,medium,"high count, manual classification needed"
ميدان الشام,10,ميدان الشام,al_sham,Al Sham,الشام,high,
غرتاف,10,غرتاف,,,,medium,"high count, manual classification needed"
زعتر و زيت,10,زعتر و زيت,,,,medium,"high count, manual classification needed"
دبليو بي جي,9,دبليو بي جي,,,,medium,"high count, manual classification needed"
نودلز فاكتوري,9,نودلز فاكتوري,,,,medium,"high count, manual classification needed"
dr cafe,9,Dr Cafe || Dr. Cafe || Dr.CAFE || dr.CAFE || dr.Cafe,dr_cafe,Dr. CAFE,دكتور كيف,high,
حلويات بلح وعسل,9,حلويات بلح وعسل,,,,low,matches non-chain pattern 'حلويات'
اربيز,9,أربيز,,,,medium,"high count, manual classification needed"
ازال,9,أزال,,,,medium,"high count, manual classification needed"
شفل,9,شفل,,,,medium,"high count, manual classification needed"
جيلا,9,جيلا,,,,medium,"high count, manual classification needed"
جو اند ذا جوس,9,جو اند ذا جوس,,,,medium,"high count, manual classification needed"
مدور,9,مدور,,,,medium,"high count, manual classification needed"
ماما نورة,9,ماما نورة,mama_noura,Mama Noura,ماما نورة,high,
تيست مي,9,تيست مي,,,,medium,"high count, manual classification needed"
توب 100,9,توب 100,,,,medium,"high count, manual classification needed"
تاج القهوة,9,تاج القهوة,,,,medium,"high count, manual classification needed"
ووك,9,ووك,,,,medium,"high count, manual classification needed"
اوليفيا,9,أوليفيا,,,,medium,"high count, manual classification needed"
لقيمات وسمبوسة,9,لقيمات وسمبوسة,,,,medium,"high count, manual classification needed"
بوكيند,9,بوكيند,,,,medium,"high count, manual classification needed"
كيتامي سوشي ونودلز,9,كيتامي سوشي ونودلز,,,,medium,"high count, manual classification needed"
شرقية,9,شرقية,,,,medium,"high count, manual classification needed"
بلانت,9,بلانت,,,,medium,"high count, manual classification needed"
ايرث بولز,9,ايرث بولز,,,,medium,"high count, manual classification needed"
اوك بيري,9,أوك بيري,,,,medium,"high count, manual classification needed"
كوخ الكشري,9,كوخ الكشري,,,,medium,"high count, manual classification needed"
سليقكو,9,سليقكو,,,,medium,"high count, manual classification needed"
pastalita,9,Pastalita,,,,medium,"high count, manual classification needed"
كبده ولحمه,9,كبده ولحمه,,,,medium,"high count, manual classification needed"
maestro pizza مايسترو بيتزا,9,MAESTRO PIZZA | مايسترو بيتزا || Maestro Pizza (مايسترو بيتزا) || Maestro Pizza | مايسترو بيتزا || Maestro Pizza مايسترو بيتزا,maestro_pizza,Maestro Pizza,مايسترو بيتزا,high,
سكرية,9,سكرية,,,,medium,"high count, manual classification needed"
باستا غايز,9,باستا غايز,,,,medium,"high count, manual classification needed"
جي كو دونات وقهوه,9,جي كو دونات وقهوه,,,,medium,"high count, manual classification needed"
كبدون,9,كبدون,,,,medium,"high count, manual classification needed"
بات و جينور,9,بات و جينور,,,,medium,"high count, manual classification needed"
كبة زون,9,كبة زون,,,,medium,"high count, manual classification needed"
سبا,9,سبأ,,,,medium,"high count, manual classification needed"
بياتو,9,بياتو,,,,medium,"high count, manual classification needed"
حلويات حلانا غير,9,حلويات حلانا غير,,,,low,matches non-chain pattern 'حلويات'
grilled burger برجر مشوي,9,Grilled Burger | برجر مشوي || Grilled Burger برجر مشوى || Grilled Burger برجر مشوي || Grilled burger برجر مشوي,,,,medium,"high count, manual classification needed"
لادورف,9,لادورف,,,,medium,"high count, manual classification needed"
فوال النخيل,8,فوال النخيل,,,,medium,"high count, manual classification needed"
منتو اكلات حجازيه,8,منتو اكلات حجازيه,,,,low,matches non-chain pattern 'اكلات'
دان كافيه dan cafe,8,دان كافيه DAN CAFE,,,,low,matches non-chain pattern 'كافيه'
البيتزا الساخنة,8,البيتزا الساخنة,,,,medium,"high count, manual classification needed"
حلويات جرير القباني,8,حلويات جرير  القباني || حلويات جرير ( القباني ) || حلويات جرير القباني,,,,low,matches non-chain pattern 'حلويات'
حلويات روز,8,حلويات روز,,,,low,matches non-chain pattern 'حلويات'
منتو ركن النيازي,8,منتو ركن النيازي,,,,medium,"high count, manual classification needed"
مضغوط بيتنا,8,مضغوط بيتنا,,,,medium,"high count, manual classification needed"
حزة جباتي,8,حزة جباتي,,,,medium,"high count, manual classification needed"
مطعم البخاري,8,مطعم البخاري,,,,low,matches non-chain pattern 'مطعم'
فلادولشي,8,فلادولشي,,,,medium,"high count, manual classification needed"
elixir bunn coffee roasters,8,Elixir Bunn Coffee Roasters,,,,medium,"high count, manual classification needed"
مسامي سوشي,8,مسامي سوشي,,,,medium,"high count, manual classification needed"
القنديل الذهبي,8,القنديل الذهبي,,,,medium,"high count, manual classification needed"
فايف جايز,8,فايف جايز,,,,medium,"high count, manual classification needed"
جديل,8,جديل,,,,medium,"high count, manual classification needed"
القهوة المقطرة,8,القهوة المقطرة,,,,medium,"high count, manual classification needed"
عمو حمزة,8,عمو حمزة,,,,medium,"high count, manual classification needed"
توتي كافيه,8,توتي كافيه,,,,low,matches non-chain pattern 'كافيه'
تشن تشن,8,تشن تشن,,,,medium,"high count, manual classification needed"
نيرباي,8,نيرباي,,,,medium,"high count, manual classification needed"
شيك شاك,8,شيك شاك,,,,medium,"high count, manual classification needed"
starbucks drive thru,8,Starbucks (Drive Thru) || Starbucks Drive Thru || Starbucks Drive-thru || Starbucks | Drive Thru,starbucks,Starbucks,ستاربكس,high,
sultan coffee سلطان القهوة,8,Sultan Coffee | سلطان القهوة,,,,medium,"high count, manual classification needed"
المذاق العربي,8,المذاق العربي,,,,medium,"high count, manual classification needed"
bangladesh restaurant,8,Bangladesh Restaurant || Bangladesh Restaurant বাংলাদেশ হোটেল || Bangladesh restaurant || Bangladesh বাংলাদেশ হোটেল (Restaurant),,,,low,matches non-chain pattern 'restaurant'
رايس اند رول,8,رايس اند رول,,,,medium,"high count, manual classification needed"
baytoti بيتوتي,8,Baytoti | بيتوتي,,,,medium,"high count, manual classification needed"
al baik,8,Al Baik,albaik,Albaik,البيك,high,
بيتزا ان,8,بيتزا ان,,,,medium,"high count, manual classification needed"
لقيمات بقشتي,8,لقيمات بقشتي,,,,medium,"high count, manual classification needed"
ماكي هاوس,8,ماكي هاوس,,,,medium,"high count, manual classification needed"
cinnabon seattle s best,8,Cinnabon / Seattle's Best,cinnabon,Cinnabon,سينابون,high,
بيت الكتاكيت,8,بيت الكتاكيت,,,,medium,"high count, manual classification needed"
بيت الكيك,8,بيت الكيك,,,,medium,"high count, manual classification needed"
khafif,8,Khafif || khafif,,,,medium,"high count, manual classification needed"
لبكه,8,لبكه,,,,medium,"high count, manual classification needed"
كيوك,8,كيوك,,,,medium,"high count, manual classification needed"
بوكودور,8,بوكودور,kudu,Kudu,كودو,high,
bangladesh hotel,8,Bangladesh Hotel || Bangladesh hotel,,,,medium,"high count, manual classification needed"
كيك من مامولا,8,كيك من مامولا,,,,medium,"high count, manual classification needed"
tutti cafe,8,Tutti Cafe,,,,medium,"high count, manual classification needed"
شيرو,8,شيرو,,,,medium,"high count, manual classification needed"
بلبن,8,بلبن,,,,medium,"high count, manual classification needed"
زماني سويت,8,زماني سويت,,,,medium,"high count, manual classification needed"
كورنر,8,كورنر,,,,medium,"high count, manual classification needed"
pakistani hotel,8,Pakistani Hotel || Pakistani hotel || pakistani hotel,,,,medium,"high count, manual classification needed"
سيتي ووك,8,سيتي ووك,,,,medium,"high count, manual classification needed"
مطعم باكستاني,8,مطعم باكستانى || مطعم باكستاني,,,,low,matches non-chain pattern 'مطعم'
بروستد الريف,8,بروستد الريف,,,,medium,"high count, manual classification needed"
najd village,8,Najd Village,najd_village,Najd Village,قرية نجد,high,
كناف,8,كناف,,,,medium,"high count, manual classification needed"
mama noura,8,Mama Noura,mama_noura,Mama Noura,ماما نورة,high,
باستا بروز,8,باستا بروز,,,,medium,"high count, manual classification needed"
كروكانت,8,كروكانت,,,,medium,"high count, manual classification needed"
بديع,8,بديع,,,,medium,"high count, manual classification needed"
كافيه,8,كافيه || ﺭﻭﺍﻕ كافيه,,,,low,matches non-chain pattern 'كافيه'
ايجي,8,ايجي,,,,medium,"high count, manual classification needed"
كاريبو كافيه,8,كاريبو كافيه,caribou_coffee,Caribou Coffee,كاريبو كوفي,high,
kudo,8,KUDO || Kudo,,,,medium,"high count, manual classification needed"
بابا خباز,8,بابا خباز,,,,medium,"high count, manual classification needed"
ريزينج كينز,8,ريزينج كينز,,,,medium,"high count, manual classification needed"
اوفردوز,8,اوفردوز,,,,medium,"high count, manual classification needed"
ريد بوكس,8,ريد بوكس,,,,medium,"high count, manual classification needed"
ووك كونج,8,ووك كونج,,,,medium,"high count, manual classification needed"
قيف مي فايف سندوتشات,8,قيف مي فايف سندوتشات,,,,medium,"high count, manual classification needed"
key cafe,8,Key Cafe || Key cafe,,,,medium,"high count, manual classification needed"
واحد فول,8,واحد فول,,,,medium,"high count, manual classification needed"
هلا برجر,8,هلا برجر,,,,medium,"high count, manual classification needed"
grilled burger,8,Grilled Burger || Grilled burger,,,,medium,"high count, manual classification needed"
شاورما جساس,8,شاورما جساس,,,,medium,"high count, manual classification needed"
ليمور,8,ليمور,,,,medium,"high count, manual classification needed"
دوكة بيت المخبوزات,7,دوكة بيت المخبوزات,,,,medium,"high count, manual classification needed"
فوكس سينما,7,فوكس سينما,,,,medium,"high count, manual classification needed"
فول وفلافل,7,فول وفلافل,,,,medium,"high count, manual classification needed"
فوال مطبق,7,فوال مطبق,,,,medium,"high count, manual classification needed"
el n,7,EL&N,,,,medium,"high count, manual classification needed"
فيلورا,7,فيلورا,,,,medium,"high count, manual classification needed"
الساخنة باستا,7,الساخنة باستا,,,,medium,"high count, manual classification needed"
فوال قمم الطائف,7,فوال قمم الطائف,,,,medium,"high count, manual classification needed"
الدبلوماسي,7,الدبلوماسي,,,,medium,"high count, manual classification needed"
فوال سوداني,7,فوال سوداني,,,,medium,"high count, manual classification needed"
منتو و يغمش سنابل الحجاز,7,منتو و يغمش سنابل الحجاز,,,,medium,"high count, manual classification needed"
موفي,7,موفي,,,,medium,"high count, manual classification needed"
arabica cafe,7,Arabica Cafe || Arabica Cafe' || Arabica cafe,,,,medium,"high count, manual classification needed"
قدر كبسة,7,قدر كبسة,,,,medium,"high count, manual classification needed"
ملت,7,ملت,,,,medium,"high count, manual classification needed"
داليز,7,داليز,,,,medium,"high count, manual classification needed"
مكرمل,7,مكرمل,,,,medium,"high count, manual classification needed"
دايز برجر,7,دايز برجر,,,,medium,"high count, manual classification needed"
حلويات لاميزون,7,حلويات لاميزون,,,,low,matches non-chain pattern 'حلويات'
